SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES_CIV,CLASS_ATTRIBUTE_VALUES_DOM,CLASS_ATTRIBUTE_VALUES_INT,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
HIS,1222,120,UGRD,Liberal Learning Domains,,Social Change in Historical Perspectives,,HIS 120 - TOPICS: MODERN EUROPE,Focuses on differing topics of historical significance having to do with Early Modern or Modern European history. This course may be repeated for credit when the topic changes.,1,,Fall and Spring
HIS,1222,165,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,Social Change in Historical Perspectives,,HIS 165 - TOPICS: NORTH AMERICA/US,Focuses on differing topics of historical significance having to do with North America and the United States.  This course may be repeated for credit when the topic changes.  May fulfill departmental distribution requirements.,1,,Fall and Spring
HIS,1222,177,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,Social Change in Historical Perspectives,,HIS 177 - 20TH CENTURY US,"This course offers a concise overview of the United States in the 20th century.  It examines the social and economic forces that define America culture and politics, as well as the nation's shift from a Eurocentric focus to globalism.",1,,Fall and Spring
HIS,1222,349,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,Social Change in Historical Perspectives,,HIS 349 - THE SOVIET UNION 1917-1991,"This course traces the history of the Soviet Union from last years of the old tsarist regime and the developments that led to the Russian Revolutions of 1917, through the Russian Civil War, the Stalin era and World War II, the Cold War, to the collapse of the USSR in 1991.",1,,Spring
HIS,1222,354,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity,Social Change in Historical Perspectives,,HIS 354 - SOUTH AFRICAN HISTORY,"This survey course explores the politics of culture in colonial-era and apartheid South Africa. It begins by studying the legal, religious, sexual and political history of colonialism, then delves into the history of African popular culture.  How miners, beer brewers, women, musicians, gangsters, and journalists created cultures of resistance is an enduring theme.  In the second half of the semester, students will create research papers about topics in South African history.",1,,Fall
INT,1222,250,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,INT 250 - INTERNATIONAL STUDY TOUR,"This course will focus on politics, economics and society in another region of the world; students will attend pre-and post-travel sessions on campus and travel.",1,,
JPN,1222,171,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Literary, Visual & Performing Arts",,JPN 171 - CONTEMPORARY JAPAN,"This course is a survey of social and cultural trends in contemporary Japan. Our main texts will be scholarly readings from the social sciences, but we will include films as another lens through which to consider significant phenomena, institutions, and directions in Japan today. We will investigate and discuss topics such as gender and family, language, race and ethnicity, religion, sports, food, and popular culture. Throughout the course, students will be asked to engage critically with course materials and, in so doing, to develop a more complex and nuanced perspective on social and cultural trends in contemporary Japan.",1,,Occasionally
LIT,1222,338,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity,"Literary, Visual & Performing Arts",,LIT 338 - AFRICAN LITERATURE,"This course focuses on literature produced in Africa from the era of European imperialism through the present. LIT /AAS 338 will focus on specific topics, regions, nations, or traditions within African literature. This course will survey African writings in English against a backdrop of colonialism, neocolonialism, and globalization.  For English majors, this class meets LH and World.",1,,Occasionally
LIT,1222,367,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Literary, Visual & Performing Arts",,LIT 367 - BRITISH THEATRE,"The course meets in the United Kingdom during the January term. Students will examine six to eight British plays both in performance and as texts and will tour sites and institutions important to British literary history.  For English majors, this class meets LH and British.",1,,Occasionally
LIT,1222,374,UGRD,Liberal Learning Domains|Writing Intensive,,"Literary, Visual & Performing Arts",Writing Intensive,LIT 374 - AMERICAN LITERATURE TO 1800,"This course is designed to provide students with the opportunity to acquire a broad-based, foundational knowledge and understanding of early American literature.  Emphasis will be placed on formulating a coherent understanding of the texts, contexts, concerns, and problematics which influenced American literature before 1865 and which continue to structure interpretations of the period.   For English majors, this class meets LH and American.",1,,Course is offered once a year.
MGT,1222,310,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,MGT 310 - CROSS-CULTURAL MANAGEMENT,"Integrated overview of the role of culture in conducting global business and the management issues influenced by differences in national and sub-national cultures.  Addresses how cultural proclivities inform employee motivation, organizational leadership, inter-personal communication, work-place conflicts and conflict resolution, and decision-making processes; how employees and managers can prepare for culture shock; and how firms can create a global mindset among their employees.",1,MGT 201 or PSY 267 are prerequisites [RQ293],Fall and Spring
PHL,1222,100,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,PHL 100 - INTRODUCTION TO PHILOSOPHY,"A course that examines the fundamentals of philosophical argument, analysis and reasoning, as applied to a series of issues in logic, epistemology, metaphysics and ethics.  Topics covered may include: logical validity, theories of knowledge and belief, the nature of mind, the nature of reality, arguments for the existence of God, and theories of the nature of right and wrong.",1,,Fall and Spring
PHL,1222,120,UGRD,Liberal Learning Domains|Writing Intensive,,World Views & Ways of Knowing,Writing Intensive,PHL 120 - INTRODUCTION TO LOGIC,"A course on the basic principles and techniques of correct reasoning in ordinary life and the sciences.  Study of the formal systems of sentence logic and predicate logic.  Translation of  natural language statements and arguments and analysis and evaluation of deductive arguments through the construction of proofs.  Focus particularly on the power and precision of the natural language with the aim of helping students increase their ability to think and write with creativity, precision and rigor.",1,,Fall and Spring
PHL,1222,135,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,PHL 135 - CONTEMPORARY MORAL ISSUES,"A course that aims to familiarize students with basic concepts and theories in ethics, and with how they may be applied to a range of contemporary moral issues.  Topics addressed may include racism, sexism, abortion, euthanasia, cloning, capital punishment, our obligations to the disadvantaged, the treatment of non-human animals, just war, and the like. Students will be encouraged to learn from great thinkers of the past and of the present, to examine their own moral values and beliefs, and to take reasoned and informed stands on the issues treated.",1,,Fall and Spring
PHY,1222,144,UGRD,Liberal Learning Domains,,Natural Science|Natural Science with Lab,,PHY 144 - PHYSICS OF EVERYDAY LIFE,Physics is around us every day.  What makes lightning?  How do airplanes fly?  Why do we see the world in color?  Why do icebergs float?  Why is the sky blue?  What if we shot an arrow on the Moon?  Should you go bungee jumping?  Basic laws of physics that underlie these and other phenomena will be explored.  Algebra-based formulas will be used.,1,This course is  not for science or mathematics majors.  [RQ#5930],Course is offered once a year.
POL,1222,130,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,POL 130 - INTERNATIONAL RELATIONS,"An examination of contemporary patterns of international interaction and their historic roots with attention to competing theoretical perspectives.  Topics studied include foreign policy, international law and organization, and international political economy.",1,,Fall and Spring
WGS,1222,166,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,Social Change in Historical Perspectives,,WGS 166 - DOCUMENTING U.S. WOMEN'S HISTORY,"In this course, students will learn Women's US History  by  reading,researching and analyzing the  primary resources of important events/movements. Utilizing primary documents from course texts, the On-line Archival Collections as well as other sources, students will understand the motivation, impact, and long-term ramifications of womens US history.",1,,Occasionally
WGS,1222,170,UGRD,Liberal Learning Civic Resp.,Gender,,,WGS 170 - TOPICS IN WOMEN'S & GENDER STUDIES,Current or specialized topics proposed by faculty or students and approved by the department.  Appropriate for freshmen.,1,,Occasionally
WGS,1222,225,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Literary, Visual & Performing Arts",,WGS 225 - GENDER IN CHILDREN'S LITERATURE,"In this course, students will develop a critical appreciation of the roles of children's literature in the social construction of gender--not only how it prescribes or resists normative gender roles, but how it represents the subjective experience of growing up gendered.  With a grounding in gender theory and critical texts, students will explore the early beginnings of children's literature in collections of folklore and fairy tales, then move on to modern classics and contemporary favorites, limiting our scope to works for young children and pre-teens.",1,,Fall and Spring
WGS,1222,235,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Behavioral, Social or Cultural Perspectives",,WGS 235 - GENDER AND VIOLENCE,"An exploration of the relationship between gender and violence.  The course is comprised of theoretical perspectives as well as the study of specific forms of violence.  Topics include:  domestic and intimate partner violence; sexual violence; child abuse; socially institutionalized forms of violence against women; attitudes and reactions to violence; national and global contexts of violence, and men and violence.",1,,Occasionally
AAH,1224,344,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Gender,"Literary, Visual & Performing Arts",Writing Intensive,"AAH 344 - WOMEN, ART & SOCIETY","This course will focus on women, art, and society.  It will cover representations of women in art, works by women artists, and feminist criticism.  The approach is historical and contextual.  Principally, this course is organized thematically, rather than chronologically, examining works by women artists in specific media and genres.  Works of art by male artists and women artists on common subjects are also examined, as are feminist revisions of popular subjects in the history of art.  The visual aspects of looking at art will be emphasized thorughout the course. Students will be continuously learning and refining skills that allow them to analyze and appreciate works of art in their proper context.",1,,Occasionally
AAS,1224,321,UGRD,Liberal Learning Civic Resp.|Writing Intensive,Gender|Race & Ethnicity,,Writing Intensive,"AAS 321 - RACE, GENDER, AND THE NEWS","Through interactive discussion, case study analysis, ongoing research, and ""old-fashioned reporting,"" this class explores the role and influence of the news media as it covers stories related to race, gender, and religion.",1,,Occasionally
EFN,1224,299,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,"EFN 299 - SCHOOLS, COMMUNITIES & CULTURE","This course examines the nature and the complex interrelationship between schools and communities in the rapidly changing diverse culture of the United States. Students learn how family and school values, belief systems, and attitudes intersect and subsequently result in inequitable schooling opportunities and student academic achievement.  Students develop an informed discourse that enables them to analyze classroom dynamics through the use of social theory as they examine case studies, ethnographies and complete a field based observation study. Through these experiences students are expected to reflect on their own socialization and begin to shape an understanding of how social structures have impacted their own educational experiences as well as those of others.  Students must register for a fifteen (15) hour field practicum that is taken concurrently with this course.  This course is only offered to students who have attained sophomore status. Students must earn a minimum of C+ to enroll in SED 399.",1,"Reserved for Sophomores & Juniors, or by permission of instructor. [RQ5167]",Fall and Spring
JPW,1224,321,UGRD,Liberal Learning Civic Resp.|Writing Intensive,Race & Ethnicity,,Writing Intensive,"JPW 321 - RACE, GENDER, AND THE NEWS","This class examines historical and contemporary issues with regard to the ways in which women and people of color participate in Western news media, either as the subjects of news coverage or as journalists.  Students will be exposed to historical, theoretical and contemporary writings on media representation, and will complete a major reporting project.",1,,Occasionally
MUS,1224,358,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Literary, Visual & Performing Arts",,"MUS 358 - SOCIAL JUSTICE, MUSIC, EDUCATION","This course will explore how music of various genres (including hip-hop, pop, folk, rock, classical, jazz, and others) can be used to address issues of social justice in contemporary global society. Students will consider how music reflects and inspires racial/ethnic expression and conveys meaning and story about experiences with race and racism. Students will also explore rationales for teaching social justice through music, develop and apply skills needed to lead discussions about social justice issues, and will design projects that use music as the impetus for dialogue about social justice topics.",1,,Occasionally
PHY,1224,103,UGRD,Liberal Learning Domains,,Natural Science|Natural Science with Lab,,"PHY 103 - PHYSICAL, EARTH, AND SPACE SCIENCE","This course is an introduction to physical, earth, and/or space sciences.  Topics may include: motion, forces, energy, the earth, environment, weather, the solar system, stars, galaxies, and the universe.  Concepts are reinforced with a variety of experiments and demonstrations. This course is designed for elementary education majors to help them meet New Jersey state standards.  Open to all majors in summer sessions.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
PSY,1224,355,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,"PSY 355 - PSYCHOLOGY OF POWER, OPPRESSION & PRIVILEGE","This course provides in-depth coverage of social psychology topics including stereotyping, prejudice and privilege, discrimination and advantage, intergroup relations, attributions, social influence, personal self-esteem and collective self-esteem.  In addition, this course provides opportunities for students to develop their writing, speaking, and presentation skills.",1,"PSY 101 is a prerequisite and not open to students who took previous related course, PSY 218.  [RQ#5921]",Fall and Spring
WGS,1224,200,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Behavioral, Social or Cultural Perspectives",,"WGS 200 - INTRO TO WOMENS, GENDER, & SEXUALITY STUDIES","The preliminary course to the interdisciplinary field of Women's and Gender Studies.  It will provide students with an introduction to the literature and the historical evolution of the discipline, as well as an understanding of how scholars and students in the field analyze women, gender, and feminist theories.  It will use an interdisciplinary approach to do this.  This introductory course encourages students to rethink and reevaluate much of what they have experienced and learned and to gain the critical vocabulary and analytic skills to question the gendered world in which they live.",1,,Fall and Spring
WGS,1224,210,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Behavioral, Social or Cultural Perspectives",,"WGS 210 - WOM & HEALTH: POWER, POL & CHNG","This course concerns the domain of women's bodies and the on-going struggle for sovereignty therein.  Students will examine how in addition to pathophysiology, women's health is impacted by social constructs, specifically history, politics, economics, and research.  As a result of this exploration, students will enhance their ability to care for themselves and for others, to use and understand power and empowerment of self and others, and to advocate and to be an activist for themselves and for others.",1,,Spring
AAH,1224,101,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,AAH 101 - ART HIST I: CAVES TO CATHEDRALS,"An introduction to the history of art through the examination of major monuments of western architecture, painting, sculpture, and minor arts from prehistoric times to the beginning of the Renaissance.  Emphasis is placed on art created for or by the dominant cultural centers of civilizations falling within this timeframe.",1,,Fall and Spring
AAH,1224,102,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,AAH 102 - ART HIST II:RENAISSANCE TO REVOL,"An introduction to the history of art through the examination of major monuments of Western architecture, painting, sculpture, and minor arts from the beginning of the Renaissance to the 1848 French Revolution.  Emphasis is placed on art created for or by the dominant cultural centers of civilizations falling within this timeframe.",1,,Fall and Spring
AAH,1224,210,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Literary, Visual & Performing Arts",,AAH 210 - ARTS OF SOUTH ASIA,"An introduction to the visual arts of South and Southeast Asia, including architecture, sculpture, and painting, particularly as they relate to religious practices (Buddhism, Hinduism, Jainism, and Islam) and to the historical, political, and social contexts of the region.  Emphasis will be on the Indian subcontinent from circa 3000 BC to the present.  Key monuments in Cambodia, Indonesia, Tibet, and Nepal will also be included.",1,,Fall and Spring
AAH,1224,212,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Literary, Visual & Performing Arts",,AAH 212 - ARTS OF THE ISLAMIC WORLD,"An introduction to the visual arts of the Islamic world, including architecture, painting, ceramics, textiles, metalwork, photography, and prints.  Emphasis will be placed on understanding individual works of art within their historical, social, and religions contexts.  The course will provide a firm understanding of both the Islamic faith and the development of Islamic cultures around the world.  Issues to be addressed include regionalism versus universalism in Islamic art, the use of art to express political power, and Western views of Islam.",1,,Spring
AAH,1224,221,UGRD,Liberal Learning Domains|Writing Intensive,,"Literary, Visual & Performing Arts",Writing Intensive,AAH 221 - ARTS OF MEDIEVAL EUROPE,"This course, combines lectures, reading-based discussions, museum experiences, and out-of-class research.  It will deal with major monuments of Western architecture, painting, sculpture, and minor arts from Late Antiquity to the beginning of the Renaissance. The emphasis will be on the impact of religious beliefs on the art and architecture produced in the dominant cultural centers of the time.  Major themes will focus on the roles of art and architecture in both sacred and secular contexts; technical skills required to produce works of art, and the interpretation of works of art by examining purpose, meaning, and context.  There will be an interdisciplinary focus on the religious, social, political, philosophical, and cultural context of the era.",1,,Occasionally
AAH,1224,253,UGRD,Liberal Learning Domains,,"Literary, Visual & Performing Arts",,AAH 253 - 20TH CENTURY ART,"Twentieth Century European and American Art is an introductory art history course, combining slide lectures and class discussions. This course is organized chronologically and will focus on artistic production in the twentieth century in Europe and the United States, including Fauvism, Expressionism, Cubism, Futurism, Constructivism, Dada and Surrealism, Abstract Expressionism, Post-Painterly Abstraction, Pop, Surrealism, Neo-Expressionism, Post Modernism, and Deconstructivism. The approach is historical and contextual and all mediums are covered, including architecture, photography, and new media. Developments such as feminist art, socio-political art, conceptual art, and performance art will also be discussed. The visual Aspects of looking art will be emphasized; throughout the course, students will be continuously learning and refining skills that will allow them to analyze and appreciate works of art in their proper context.",1,,Fall and Spring
AAH,1224,499,UGRD,Liberal Learning Domains|Writing Intensive,,"Literary, Visual & Performing Arts",Writing Intensive,AAH 499 - ART HISTORY SENIOR SEMINAR CAPSTONE,"Students will refine their skills in writing and thinking like art historians. Students will work independently with an art history faculty on a topic approved in AAH 498, producing a 25-30-page paper and an oral report which will be delivered in a public presentation to the art history faculty and students. A final exit exam will also be given.  These learning activities require thinking at a sophisticated level, and the written parts of these activities will require students to demonstrate their skills in researching and reading scholarly works, thinking critically, developing theses, and refining arguments.",1,PRE AAH 498 is a prerequisite [RG5676],Fall and Spring
AAS,1224,150,UGRD,Liberal Learning Civic Resp.,Gender|Race & Ethnicity,,,AAS 150 - INTRODUCTION TO SOCIAL JUSTICE,"This introductory course examines how racism, classism, sexism, ableism and other patterns of inequality intersect, and thus create barriers to the realization of a more equal and just society. The course will begin with a theoretical examination of what we mean by justice, social justice and why these matter. Students will then examine the social constructions of gender, race, and sexuality and how they are shaped by particular contexts, times, and places. Using an intersectional framework, the course will then examine pressing current social justice issues such as poverty, race and incarceration, immigration, etc. and how the intersectionality of social identities and forces amplify the impact of these issues on oppressed populations. Students will examine strategies to create change, including organizing, campaigns, and advocacy.",1,,Occasionally
AAS,1224,235,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Literary, Visual & Performing Arts",,AAS 235 - AFRICAN AMERICAN FILM,A survey of the images of African Americans as presented in American film. Emphasizes the viewing of a selected number of works which depict various types of movie-myth African Americans.,1,,Occasionally
AAS,1224,240,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Literary, Visual & Performing Arts",,AAS 240 - HISTORY OF JAZZ,"An introduction to jazz music through an examination of its content, history and cultural legacy. The course begins with the emergence of jazz out of early African-American musical forms, and considers the profound connection between the African-American experience and the development of jazz. It is an examination of how jazz evolved through artistic and technological innovations as well as through cultural, commercial and political forces. The course engages students in critical listening and research-based writing skills.",1,,Fall and Spring
AAS,1224,270,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Race & Ethnicity,"Literary, Visual & Performing Arts",,AAS 270 - TOPICS IN AFRICAN AMERICAN STUDIES,This course will be offered as a lecture/discussion course. Topics in African American Studies focuses on a different topic with each offering . May be repeated as topic changes.,1,,Occasionally
AAS,1224,280,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,AAS 280 - WOMEN OF AFRICAN DESCENT IN GLOBAL PERSPECTIVE,"Women of African Descent in Global Perspective is a global, cross-cultural survey of the lives and contributions of women of African ancestry. Emphasis will be placed upon shared elements of African culture that, when impacted by colonialism and/or the Atlantic slave trade, resulted in similar types of resistance to oppression, and analogues cultural expression among the women of four locales: Africa, South America and the Caribbean, North America and Europe. Theoretical methodologies, historical narrative, literature, demographic data, material culture, representations of self, and representations by others will be explored to illuminate/explain the: History, Cultural artifacts, Cultural retentions and Self-concept.",1,,Fall and Spring
AAS,1224,281,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,AAS 281 - SOCIOLOGY OF RACE IN THE U.S.,"A broad sociological study of race in the dynamics of the American power, privilege, and oppression. The course argues race, as a concept and social phenomenon, if fluid, malleable, and socially constructed and those characteristics have made it a persistent and useful feature in the US historical development.",1,,Fall and Spring
AAS,1224,282,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,Social Change in Historical Perspectives,,AAS 282 - HISTORY OF RACE RELATIONS IN THE U.S.,"A socio-historical examination of race as a category in the United States. The course approaches the United States as a multiracial society and discusses how the various racial groups negotiate their differences politically, economically, intellectually, socially, and culturally.¿",1,,Fall and Spring
AAS,1224,338,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity,"Literary, Visual & Performing Arts",,AAS 338 - AFRICAN LITERATURE,"This course focuses on literature produced in Africa from the era of European imperialism through the present. LIT/AAS 338 will focus on specific topics, regions, nations, or traditions within African literature. This course will survey African writings in English against a backdrop of colonialism, neocolonialism, and globalization.",1 - 10,,Occasionally
AAS,1224,353,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,AAS 353 - ADVANCED CRIMINOLOGY: RACE & CRIME,"A critical examination of the correlation between race and crime in America.  The course will focus on four major areas: race and the law, race and criminological theory, race and violent crime, and myths and facts about race and crime.  Through critical examination of readings and official statistics, students will come to understand the complexity of the relationship between race and crime within the American Criminal Justice System and broader social context.",1,,Fall and Spring
AAS,1224,370,UGRD,Liberal Learning Civic Resp.,Race & Ethnicity,,,AAS 370 - SPECIAL TOPICS IN AFRICANA STUDIES,Focuses on different topics of significance to Africa and the African diasporas.  May be repeated as topic/instructor varies.,1,,Occasionally
AAS,1224,373,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Race & Ethnicity,Social Change in Historical Perspectives,,AAS 373 - SLAVERY AND BLACK WOMANHOOD,"Harriet Jacobs laments in her 1861 slave narrative Incidents in the Life of a Slave Girl that ¿Slavery is terrible for men; but it is far more terrible for women.¿  Enslaved women in early and antebellum America not only endured the legal classification of being chattel property, but also the legal vulnerability of being sexual objects. The everyday sexual violation of black women by slaveholders, overseers, and others, not only tested legal definitions of sexual assault and rape, but also shaped the lives of enslaved women. Using primary source materials, biographies, monographs, and small group discussion, students will examine the challenges that enslaved black women faced in the late eighteenth century and the nineteenth century. Specifically, this course will focus on unpaid labor, rape, exclusion from first-wave feminism, resistance, incarceration, and reproduction as core experiences of black girlhood and womanhood.",1,,Spring
AAS,1224,378,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Race & Ethnicity,"Literary, Visual & Performing Arts",Writing Intensive,AAS 378 - AFRICAN AMERICAN LITERATURE 1920-1980,"A study  of  literature in the African American tradition, focusing on the realist and naturalist writings of this period, as well as the prose, poetry, essays and speeches of the Harlem Renaissance and Black Arts Movement.  We will interrogate how the social matrices of competing definitions of black identity are reflected in and through writing produced by African Americans, while we trouble notions of authenticity, representation, and essentialism. The course will also explore the canon of African American Literature, its literary traditions, and the intersections with and diversions from the canon of American Letters.",1,,Spring
AAS,1224,470,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Race & Ethnicity,Social Change in Historical Perspectives,,AAS 470 - ADV SPEC TOPICS AFRICANA STUDIES,,1,,
