SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
AAH,1218,101,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 101 - ART HIST I: CAVES TO CATHEDRALS,"An introduction to the history of art through the examination of major monuments of western architecture, painting, sculpture, and minor arts from prehistoric times to the beginning of the Renaissance.  Emphasis is placed on art created for or by the dominant cultural centers of civilizations falling within this timeframe.",1,,Fall and Spring
AAH,1218,102,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 102 - ART HIST II:RENAISSANCE TO REVOL,"An introduction to the history of art through the examination of major monuments of Western architecture, painting, sculpture, and minor arts from the beginning of the Renaissance to the 1848 French Revolution.  Emphasis is placed on art created for or by the dominant cultural centers of civilizations falling within this timeframe.",1,,Fall and Spring
AAH,1218,201,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 201 - ART OF GREECE,"The course will deal with major monuments of Greek architecture, painting, sculpture, and minor arts from the Bronze Age through the Hellenistic Period. The emphasis will be on developments in Athens, the Peloponnesus and the mainland but monuments of art and architecture in Magna Graecia, Asia Minor, and the Greek islands will be included as well. Major emphasis will be placed on the principal forms of Greek art and architecture, with their stylistic development and social context. Students will also be introduced to questions of production and trade, as well as the religious, political, and social roles of Greek art. Different archaeological theories and interpretations and their relationship to Greek art and architecture will also be included. Slide lectures, museum trips, and critical and theoretical texts will be used to illustrate and illuminate the meanings and purposes of Greek art and architecture of this important period.",1,,Occasionally
AAH,1218,202,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 202 - ART OF ROME,"The course will deal with major monuments of Roman architecture, painting, sculpture, and minor arts.  The emphasis will be on developments in Rome, Pompeii, and central Italy.  Monuments of art and architecture of the European, Eastern, and African provinces of the empire will also be included.  Major themes will include the development of Rome from a primitive village to a world capital; the revolution in architectural form made possible by the Roman use of concrete and of arch and vault construction; Pompeian and Roman wall painting; Roman portrait and historical relief sculpture; and the political and social roles of Roman art.",1,,Occasionally
AAH,1218,211,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Global|Literary, Visual & Performing Arts",AAH 211 - ARTS OF EAST ASIA,"An introduction to the visual arts of East Asia, including architecture, sculpture, painting and decorative arts, particularly as they relate to religious and philosophical practices (Buddhism, Shintoism, Daoism, and Confucianism) and to the historical, political, and social contexts of the region.  Emphasis will be on China and Japan from the Bronze Age to the present.  Key monuments in Korea will also be included.",1,,Occasionally
AAH,1218,253,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 253 - 20TH CENTURY ART,"Twentieth Century European and American Art is an introductory art history course, combining slide lectures and class discussions. This course is organized chronologically and will focus on artistic production in the twentieth century in Europe and the United States, including Fauvism, Expressionism, Cubism, Futurism, Constructivism, Dada and Surrealism, Abstract Expressionism, Post-Painterly Abstraction, Pop, Surrealism, Neo-Expressionism, Post Modernism, and Deconstructivism. The approach is historical and contextual and all mediums are covered, including architecture, photography, and new media. Developments such as feminist art, socio-political art, conceptual art, and performance art will also be discussed. The visual Aspects of looking art will be emphasized; throughout the course, students will be continuously learning and refining skills that will allow them to analyze and appreciate works of art in their proper context.",1,,Fall and Spring
AAH,1218,254,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 254 - HISTORIES OF PHOTOGRAPHY,"This course is an introduction to the multiple investigations of the history of photography. Emphasis will be given to the diverse cultural uses of photography from its invention to the present day.  Such uses include: ethnography; political and social propaganda; educational and documentary photography; amateur photography; studio, advertising, and fashion photography; and photography as a medium of artistic expression.  Field trips are required.",1,,Fall
AAH,1218,370,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 370 - TOPICS IN ART HISTORY,"This course may be offered as a lecture and/or seminar.  Topics in Art History focuses on a different topic with each offering (e.g., current trends in art history, special offerings).  May be repeated as topic changes.",1,,Fall and Spring
AAH,1218,404,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Gender|Literary, Visual & Performing Arts",AAH 404 - WOMEN IN CLASSICAL ART,"Prerequisites: one previous art history course or permission of instructor This course is designed for upper-level students.  We will be investigating the representation of women in ancient sculpture, painting, and the minor arts  as well as the architecture and structure of ancient houses and other spaces used by women. In addition, the roles of women as patrons of the arts will be examined.  Emphasis will be placed on the interpretation of art and architecture in relation to the social and cultural roles that women fulfilled in the Greek and Roman worlds.",1,PRE One previous art history course or permission from the instructor is a prerequisite [5645],Occasionally
AAH,1218,498,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAH 498 - JUNIOR RESEARCH SEMINAR,"This course will focus on the history, methodology, and critical development of the discipline of art history and the history and contemporary implications of the museum.  Students will develop their skills in writing and thinking like art historians.  During the first half of the course, selected scholarly essays will be read and discussed.  In the second half, students will substantially rework a paper written for a past course, with the aim of significantly improving its quality through the application of enhanced research and writing skills. Students will also develop a proposal for a paper to be written in the fall semester of the senior year; that paper will be the Senior Capstone project and will be presented orally to the art history faculty and students.",1,RES open only to Junior Art History majors or higher [RG5677],Occasionally
AAH,1218,499,UGRD,Liberal Learning Domains|Writing Intensive,"Literary, Visual & Performing Arts|Writing Intensive",AAH 499 - ART HISTORY SENIOR SEMINAR CAPSTONE,"Students will refine their skills in writing and thinking like art historians. Students will work independently with an art history faculty on a topic approved in AAH 498, producing a 25-30-page paper and an oral report which will be delivered in a public presentation to the art history faculty and students. A final exit exam will also be given.  These learning activities require thinking at a sophisticated level, and the written parts of these activities will require students to demonstrate their skills in researching and reading scholarly works, thinking critically, developing theses, and refining arguments.",1,PRE AAH 498 is a prerequisite [RG5676],Fall and Spring
AAS,1218,150,UGRD,Liberal Learning Civic Resp.,Gender|Race & Ethnicity,AAS 150 - INTRODUCTION TO SOCIAL JUSTICE,"This introductory course examines how racism, classism, sexism, ableism and other patterns of inequality intersect, and thus create barriers to the realization of a more equal and just society. The course will begin with a theoretical examination of what we mean by justice, social justice and why these matter. Students will then examine the social constructions of gender, race, and sexuality and how they are shaped by particular contexts, times, and places. Using an intersectional framework, the course will then examine pressing current social justice issues such as poverty, race and incarceration, immigration, etc. and how the intersectionality of social identities and forces amplify the impact of these issues on oppressed populations. Students will examine strategies to create change, including organizing, campaigns, and advocacy.",1,,Occasionally
AAS,1218,179,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity|Social Change in Historical Perspectives,AAS 179 - AFRICAN AMERICANS HISTORY TO 1865,An examination of the history of African Americans from their ancestral home in Africa to the end of the United States Civil War.  The course encompasses introducing the cultures and civilizations of the African people prior to the opening up of the New World and exploring black contributions to America up to 1865.,1,,Fall and Spring
AAS,1218,180,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity|Social Change in Historical Perspectives,AAS 180 - AFRICAN AMERICAN HISTORY 1865 TO PRESENT,An examination of the history of African Americans from the end of slavery in the United States to the civil rights revolution of 1950s and 1960s.  The course is designed to explore the history of African Americans since the Reconstruction and their contributions to the civil rights revolution of the present era.,1,,Fall and Spring
AAS,1218,240,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Literary, Visual & Performing Arts|Race & Ethnicity",AAS 240 - HISTORY OF JAZZ,"An introduction to jazz music through an examination of its content, history and cultural legacy. The course begins with the emergence of jazz out of early African-American musical forms, and considers the profound connection between the African-American experience and the development of jazz. It is an examination of how jazz evolved through artistic and technological innovations as well as through cultural, commercial and political forces. The course engages students in critical listening and research-based writing skills.",1,,Fall and Spring
AAS,1218,270,UGRD,Liberal Learning Civic Resp.,Race & Ethnicity,AAS 270 - TOPICS IN AFRICAN AMERICAN STUDIES,This course will be offered as a lecture/discussion course. Topics in African American Studies focuses on a different topic with each offering . May be repeated as topic changes.,1,,Occasionally
AAS,1218,280,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Gender|Race & Ethnicity",AAS 280 - WOMEN OF AFRICAN DESCENT IN GLOBAL PERSPECTIVE,"Women of African Descent in Global Perspective is a global, cross-cultural survey of the lives and contributions of women of African ancestry. Emphasis will be placed upon shared elements of African culture that, when impacted by colonialism and/or the Atlantic slave trade, resulted in similar types of resistance to oppression, and analogues cultural expression among the women of four locales: Africa, South America and the Caribbean, North America and Europe. Theoretical methodologies, historical narrative, literature, demographic data, material culture, representations of self, and representations by others will be explored to illuminate/explain the: History, Cultural artifacts, Cultural retentions and Self-concept.",1,,Fall and Spring
AAS,1218,281,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Race & Ethnicity",AAS 281 - SOCIOLOGY OF RACE IN THE U.S.,"A broad sociological study of race in the dynamics of the American power, privilege, and oppression. The course argues race, as a concept and social phenomenon, if fluid, malleable, and socially constructed and those characteristics have made it a persistent and useful feature in the US historical development.",1,,Fall and Spring
AAS,1218,351,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global|Race & Ethnicity|Social Change in Historical Perspectives,AAS 351 - ANCIENT AND MEDIEVAL AFRICA,"This introductory course surveys ancient and medieval African history through the eyes of male and female royalty, archaeologists, peasants, religious leaders and storytellers.  While the course reconstructs the great civilizations of ancient Africa including Egypt, Zimbabwe, Mali, and others, it is not primarily focused on kings and leaders.  Rather, the course explores how ordinary Africans ate, relaxed, worshiped, and organized their personal and political lives.",1,,Fall and Spring
AAS,1218,370,UGRD,Liberal Learning Civic Resp.,Race & Ethnicity,AAS 370 - SPECIAL TOPICS IN AFRICANA STUDIES,Focuses on different topics of significance to Africa and the African diasporas.  May be repeated as topic/instructor varies.,1,,Occasionally
AAS,1218,375,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender|Race & Ethnicity|World Views & Ways of Knowing,AAS 375 - BLACK FEMIINIST THOUGHT,"This course traces the evolution of feminist consciousness among Africana women.  Students will trace the thoughts, social and political activism and ideologies generated by women of African ancestry from the early 19th Century free black ""feminist abolitionists"" to contemporary times.  ""Womanist,"" ""Feminist,"" ""Critical Race Feminist,"" and ""Black Feminist"" ideologies will be emphasized through course readings and assignments that explore the emergence and perpetuation of an Africana women's feminist consciousness.",1,Any WGS or AAS course is a prerequisite [RQ145],Fall and Spring
AAS,1218,377,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,"Literary, Visual & Performing Arts|Race & Ethnicity|Writing Intensive",AAS 377 - AFRICAN-AMERICAN LITERATURE TO 1920,"A study of selected African American Literature from the colonial period through Reconstruction, this course will build students' knowledge and confidence as readers and critics of African American culture and society in the United States.  We will look at theses texts through a lens focused on the effects produced by struggles with American fictions of race, class and sex and their intersections with categories of gender, ethnicity and nation. The course will also explore the canon of African American Literature, its literary tradition, and the connection to and diversions from the canon of American Letters.",1,,Fall
AAV,1218,102,UGRD,Writing Intensive,Writing Intensive,AAV 102 - VISUAL THINKING,"Visual Thinking initiates investigation into current forms of artistic production.  At the heart of Visual Thinking lies the question ""What is Art?"" Visual Thinking challenges the traditional status of the art object as product and refocuses artistic creativity in the process of art making, the ideas invoked and the meaning of cultural production. Among the approaches to art making that will be researched and put into practice will be the readymade, public intervention, performance and ephemeral works, language and the use of signifiers.",1,,Fall and Spring
AAV,1218,111,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAV 111 - DRAWING,"The purpose of the course is to cultivate the student's ability to express ideas visually and to develop confidence in drawing a variety of subjects with diverse materials.  Exercises cultivate skill in determining composition, rendering geometric shapes, depicting perspective and three dimensional illusion, fashioning light, shade, proportion, scale, surface and textures as well as arranging still life compositions.  Research and investigation historical and the contemporary drawing practices will be investigated.",1,,Fall and Spring
AAV,1218,130,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAV 130 - PHOTOGRAPHY I,This course is a guided studio experience in digital art with emphasis on 2D digital imaging. Investigations include the creative possibilities of graphics and contemporary background of computers and digital arts.  Students will use computer imaging and illustration to convey artistic concepts and personal observations pertaining to defined themes.  Prior experience with the computer is not required.  Extra lab hours outside of class meeting times will be required to complete assignments.,1,,Fall and Spring
AAV,1218,214,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAV 214 - PRINTMAKING,"This course introduces methodologies and concepts of fine art printmaking processes. It exposes students to an overview of the tools, methods and materials for making printed artworks with particular focus on how manual printing and traditional techniques relate to contemporary concepts and individual art practice. This study includes a variety of approaches to printmaking  and editioning processes. Students will learn how to work in a printshop environment.",1,PRE AAV 111 is a prerequisite [RG5695],Fall
AAV,1218,215,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAV 215 - PAINTING 1,"An introductory studio investigation of the concepts and techniques of painting, and the major historical painting styles.  Emphasis is on the development of painting as a foundation for the development of a personal visual language.  Acrylic or oil media may be used.",1,,Fall
AAV,1218,218,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Global|Literary, Visual & Performing Arts",AAV 218 - BOOK ARTS,"An introduction to Artist books designed to bring together students with differing backgrounds who approach this art in their own unique ways.  This is a projects-oriented course that involves students in the discussion, critique, planning, and design of books in a range of book-production media.  The course introduces terms, formats, book genres, design concepts, and production practices.  Examples of projects include wearable books, alternative book structures, Japanese bindings and Japanese design, Coptic binding, tunnel books, and creating books with foldouts.  In addition, the final project gives each student the opportunity to plan and execute a book design project that reflects his or her particular interests.  Historical and the contemporary book arts practices will be investigated.",1,,Course is offered once a year.
AAV,1218,370,UGRD,Liberal Learning Civic Resp.,Global,AAV 370 - TOPICS IN VISUAL ARTS,This course may be offered as either a studio and/or lecture class and focuses on a different topic in the visual arts with each offering. May be repeated as topic changes.,.25 - 1,"Two 200-level AAV courses are a prerequisite, or Departmental approval. [RQ#6317]",Occasionally
AAV,1218,385,UGRD,Liberal Learning Domains,"Literary, Visual & Performing Arts",AAV 385 - ELECTRONIC MUSIC,"This course introduces students to electronic music studio techniques, including MIDI, sequencing, sound synthesis, sampling, mixing, and audio production. It also covers theoretical and historical developments in the field of electronic music, including a review of compositions, styles, and technologies. Students create their own musical compositions in the computer lab. Open to students of any major. Approved for Liberal Learning credit in Literary, Visual & Performing Arts.",1,ADA 180/AAV 130 is a prerequisite [RQ184],Fall and Spring
AAV,1218,458,UGRD,Writing Intensive,Writing Intensive,AAV 458 - PROFESSIONAL PRACTICE IN GRAPHIC DESIGN,"This course will focus on advancing students' personal vision through design research, writing, and innovative design projects.  For their final project, students will conduct visual and critical research that will culminate in a research paper and creative personal project.",1,PRE AAV 253 is a prerequisite [RG6025],Fall
ACC,1218,498,UGRD,Writing Intensive,Writing Intensive,ACC 498 - SEMINAR IN ACCOUNTING ISSUES,"This writing intensive course is designed for students who will be accounting professionals. The broad objective of this course is to integrate and enhance study of accounting topics, concepts and methods, building on the knowledge acquired from earlier courses in the program. This course is designed to address these Program Learning Goals: Accounting concepts analysis and application, critical thinking in accounting, and effective communication.  This course should be taken in the last semester.",1,"ACC 302, ACC 311 & ACC 321 are prerequisites. [RQ5754]",Fall and Spring
ANT,1218,110,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Global",ANT 110 - INTRO TO CULTURAL ANTHROPOLOGY,"A survey of the major concepts of social-cultural anthropology.  Cross-cultural comparison will be a central concern of the course, as will the process of cultural change.",1,,Fall and Spring
ANT,1218,111,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Natural Science",ANT 111 - INTRO TO BIOLOGICAL ANTHROPOLOGY,"What makes us human?  Is it the use of language, the ability to manipulate material culture or the fact that we are bipedal?  This course will focus on evolutionary theory and the theory of natural selection, the behavior and anatomy of non-human primates, and the evolution of modern humans.  Students will also learn how anthropology is directly related to other disciplines including sociology, biology, ecology and geology. (Note:  this course has no lab, and while it satisfies the liberal learning requirement for a natural science course, it does NOT satisfy the requirement for a natural science with lab).",1,,Course is offered once a year.
ANT,1218,112,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Global",ANT 112 - INTRODUCTION TO ARCHAEOLOGY,"How do anthropologists learn about people and the worlds in which they live when they can't talk with those people or observe their day-to-day activities?  Archaeology is the sub-discipline of anthropology that explores what it means to be human by examining the material things that people made, modified, and left behind.  Students in this course will learn to explain how archaeologists use the material remains of human activities to understand past human relationships, behaviors, and beliefs.  Simultaneously, they will grow to appreciate how interpretations and presentations of the past affect people living today.",1,,Course is offered once a year.
ANT,1218,205,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ANT 205 - HUMAN EVOLUTION,"The study of human evolutionary past, using various methods, including archaeology and the interpretation of skeletal morphology. Evolutionary principles and processes of change  are used asa theoretical background to examine our non-human primate relatives, the human fossil record, and biological variation in modern human populations. It is recommended, but not required, that students complete ANT111 prior to enrolling in this course.",1,,Course is offered once a year.
ANT,1218,213,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Global",ANT 213 - LANGUAGE AND CULTURE: AN INTRODUCTION TO LINGUISTIC ANTHROPOLOGY,"An introduction to the Anthropological subfield of Linguistic Anthropology, which investigates the relationship between language and culture. Language permeates our lives, and yet most of us take it for granted. This course is intended to clarify your ideas about language as it is used by speakers in various social contexts across a wide range of cultures. By the end of the course you should be familiar with some of the terminology and techniques of linguistic anthropological analysis and be able to apply this knowledge to the description of different languages.",1,,Occasionally
ANT,1218,246,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Global",ANT 246 - CLIMATE JUSTICE & SOCIAL ACTION,"This course provides the opportunity for students to develop skills to take collective action on climate change and other social issues.   Students will learn how to bring about social change by carrying out a policy change campaign over the course of the semester.  The course is based on the framework of climate justice: the acknowledgment that the people affected most by climate change are the least responsible for causing it and that addressing climate change requires addressing the societal inequalities--racial, economic, gender, among others--that force vulnerable people to bear the brunt of the effects of climate change.",1,,Occasionally
ANT,1218,361,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives|Natural Science|Natural Science with Lab",ANT 361 - HUMAN OSTEOLOGY & FORENSIC ANTHROPOLOGY,"The study of the human skeleton can reveal  human origins as well as support the recovery, analysis, and identification of human skeletal remains in a medicolegal context. Students in this course will be introduced to the macro- and micro-anatomy of bone, techniques for identifying and siding individual bones, and methods used to develop a biological profile from human skeletal remains. The course also examines the role of forensic anthropologists in aspects of medicolegal death investigation that include personal identification, analysis of skeletal trauma, mass disasters, and human rights violations.",1,,Occasionally
ANT,1218,370,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ANT 370 - TOPICS IN ANTHROPOLOGY,Current or specialized topics proposed by faculty or students and approved by the department.  Offered primarily for juniors and seniors.  It may not be appropriate for freshmen and sophomores.  The class may be taken for credit several times if content differs each time.,1,,Occasionally
ANT,1218,397,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ANT 397 - LEARNING ASSISTANTSHIP IN ANTHROPOLOGY,"Learning Assistants learn about the teaching of anthropology.  Students gain a deeper understanding of the particular course content area, gain insight into curriculum goals and methods of achieving them, and develop instructional skills in the areas of providing written feedback, creating and/or delivering learning activities, and constructing learning tools.  Learning Assistants (LAs) work closely with the professor.  Specific duties for the Learning Assistant are detailed in a contract that is developed and signed by both the student and faculty sponsor.",.25 - 1,,Fall and Spring
ANT,1218,493,UGRD,Liberal Learning Domains,"Behavioral, Social or Cultural Perspectives",ANT 493 - SENIOR INDEPENDENT CAPSTONE RESEARCH,"This is a one-semester Senior Research project and paper that serves as one of the options for the Capstone experience for the Anthropology major. It provides an opportunity for exceptional students to pursue individual or collaborative research projects, with the guidance of the department faculty. Department Consent required.",1,"ANT 393 and SOC301, and SOC302 or 200-level language,  and ANT361 or ANT 390 or ANT 401 are prerequisites.  [RQ#6343]",Fall and Spring
BIO,1218,104,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,BIO 104 - INQUIRIES IN THE LIFE SCIENCES,"Restriction: Open only to students in Elementary Education, Early Childhood Education, Education of the Deaf and Hard of Hearing, and Special Education.   An introduction to general chemistry and biology concepts and their relationship with current issues in the study of genetics, the environment and human health. Scientific principles necessary to understand topics such as human nutrition and disease, human impacts on the biosphere, and the debate over teaching evolution in public schools are considered. A strong emphasis is placed upon the process of science as a form of inquiry, and the theory of evolution as the foundation of modern biology. Laboratory experiments, discussions and written assignments will complement the course, which is designed to meet New Jersey state content curriculum standards in chemistry and life science.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
BIO,1218,141,UGRD,Liberal Learning Domains,Natural Science|Natural Science with Lab,BIO 141 - PRIN HUM ANATOMY & PHYSIOLOGY I,Designed to meet the needs of students who wish to achieve an understanding of the structure and function of the human body. The concept of homeostasis will be emphasized. Includes a laboratory component that uses the cat as the dissection specimen. Opportunities for collecting and analyzing data are provided.,1,Reserved fpr Nursing Students. [RQ#6077],Fall
