SUBJECT,STRM,CATALOG_NBR,ACAD_CAREER,CLASS_ATTRIBUTES,CLASS_ATTRIBUTE_VALUES_CIV,CLASS_ATTRIBUTE_VALUES_DOM,CLASS_ATTRIBUTE_VALUES_INT,COURSE_TITLE,DESCRLONG,UNITS,ENROLL_REQUIREMENTS,OFFERED
NUR,Winter 2022,300,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,NUR 300 - LEGAL CHALL IN HEALTH CARE,"This course is designed to empower future health care professionals (i.e. nurse, physician, psychologist, physical therapist, licensed social worker) to take an active role in the legal and political process.  Rights, privileges, and obligations of practitioners in their relationship to each other, their employers, their patients, and all providers of health care will be considered.  This course will prepare students to practice within the legal boundaries of their health care profession and to help them understand legal implications and advocacy  throughout such practice.",1,Reserved for off campus RN to BSN Students RQ#5823],Fall and Spring
PBH,Winter 2022,405,UGRD,Writing Intensive,,,Writing Intensive,PBH 405 - PUBLIC HEALTH CAPSTONE INTERNSHIP,"This 1-unit capstone internship provides students with practical experience in an approved public health agency. Intended for seniors or advanced juniors, students must complete at least 120 hours over one semester (15 weeks) in research, health education, program implementation and/or evaluation, or other approved activities based on CEPH objectives and goals. Students are required to attend the Capstone Orientation at least one semester PRIOR to starting the Capstone Internship. Students are coached to identify and secure placements, complete the TCNJ site agreement prior to starting their internship, and develop and finalize their Goals and Objectives. Requirements include: 1) attend at least one local or regional professional Health or Public Health conference; 2) participate in seminars (once or twice per month) for sharing experiences, developing career objectives, and stimulating creative thinking for professional development; and 3) document timely completion of journal, hours, and goals and activities. A grade of B- or higher is required to successfully complete the 2-unit undergraduate capstone requirements (both PBH 405 and 406).",.25 - 1,,Fall and Spring
PHL,Winter 2022,100,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,PHL 100 - INTRODUCTION TO PHILOSOPHY,"A course that examines the fundamentals of philosophical argument, analysis and reasoning, as applied to a series of issues in logic, epistemology, metaphysics and ethics.  Topics covered may include: logical validity, theories of knowledge and belief, the nature of mind, the nature of reality, arguments for the existence of God, and theories of the nature of right and wrong.",1,,Fall and Spring
PHL,Winter 2022,120,UGRD,Liberal Learning Domains|Writing Intensive,,World Views & Ways of Knowing,Writing Intensive,PHL 120 - INTRODUCTION TO LOGIC,"A course on the basic principles and techniques of correct reasoning in ordinary life and the sciences.  Study of the formal systems of sentence logic and predicate logic.  Translation of  natural language statements and arguments and analysis and evaluation of deductive arguments through the construction of proofs.  Focus particularly on the power and precision of the natural language with the aim of helping students increase their ability to think and write with creativity, precision and rigor.",1,,Fall and Spring
PHL,Winter 2022,135,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,PHL 135 - CONTEMPORARY MORAL ISSUES,"A course that aims to familiarize students with basic concepts and theories in ethics, and with how they may be applied to a range of contemporary moral issues.  Topics addressed may include racism, sexism, abortion, euthanasia, cloning, capital punishment, our obligations to the disadvantaged, the treatment of non-human animals, just war, and the like. Students will be encouraged to learn from great thinkers of the past and of the present, to examine their own moral values and beliefs, and to take reasoned and informed stands on the issues treated.",1,,Fall and Spring
PHY,Winter 2022,144,UGRD,Liberal Learning Domains,,Natural Science|Natural Science with Lab,,PHY 144 - PHYSICS OF EVERYDAY LIFE,Physics is around us every day.  What makes lightning?  How do airplanes fly?  Why do we see the world in color?  Why do icebergs float?  Why is the sky blue?  What if we shot an arrow on the Moon?  Should you go bungee jumping?  Basic laws of physics that underlie these and other phenomena will be explored.  Algebra-based formulas will be used.,1,This course is  not for science or mathematics majors.  [RQ#5930],Course is offered once a year.
PHY,Winter 2022,163,UGRD,Liberal Learning Domains,,Natural Science|Natural Science with Lab,,PHY 163 - ASTRONOMY: STARS & THE UNIVERSE,"Topics include: the nature of light; the nature and evolution of stars, including the Sun; neutron stars and black holes; stellar clusters; the Milky Way; types of galaxies; galaxy formation and evolution; active galaxies; dark matter; the expanding and accelerating universe; dark energy; the fate of the universe.   Computational and observational laboratories, along with extensive use of our updated planetarium are incorporated to improve conceptual understanding.  PHY 163 satisfies the Natural Science with Laboratory requirement.  Some nighttime observing is required.",1,Knowledge of High School Algebra is a prerequisite.  [RQ#6122],Fall and Spring
POL,Winter 2022,130,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Global,"Behavioral, Social or Cultural Perspectives",,POL 130 - INTERNATIONAL RELATIONS,"An examination of contemporary patterns of international interaction and their historic roots with attention to competing theoretical perspectives.  Topics studied include foreign policy, international law and organization, and international political economy.",1,,Fall and Spring
PSY,Winter 2022,101,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,PSY 101 - GENERAL PSYCHOLOGY,"Psychology Core Course.  Introduction to major topics in psychology, including biopsychology, development, cognition, counseling-clinical psychology, social psychology, and psychology in industrial/organizational settings.",1,,Fall and Spring
PSY,Winter 2022,397,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,PSY 397 - LEARNING ASSISTANTSHIP,"Instructional Interns learn about the teaching of psychology.  Students gain a deeper understanding of the particular course content area, gain insight into curriculum goals and methods of achieving them, and develop instructional skills in the areas of providing written feedback, creating and/or delivering learning activities, and constructing learning tools.  Instructional Interns (IIs) are associated with a particular section of a course and work closely with the professor.  Instructional Internship can be taken a maximum of two times and cannot be repeated for the same course. Specific duties for the instructional intern are detailed in a contract that is developed and signed by both the student and faculty sponsor.",2-Jan,,Fall and Spring
REL,Winter 2022,120,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,REL 120 - EARLY JUDAISM,"Course examining the fundamentals, history and development of the Jewish faith and way of life.  Students will study the Jewish historical experience and the evolving theological responses to that experience from the beginnings of Judaism until the French Revolution.",1,,Fall
REL,Winter 2022,170,UGRD,Liberal Learning Domains,,World Views & Ways of Knowing,,REL 170 - TOPICS IN RELIGION,"This is a Topics Course with no prerequisites, open to and appropriate for first-year students.",1,Reserved for off campus RN to BSN Students RQ#5823],Occasionally
WGS,Winter 2022,166,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,Social Change in Historical Perspectives,,WGS 166 - DOCUMENTING U.S. WOMEN'S HISTORY,"In this course, students will learn Women's US History  by  reading,researching and analyzing the  primary resources of important events/movements. Utilizing primary documents from course texts, the On-line Archival Collections as well as other sources, students will understand the motivation, impact, and long-term ramifications of womens US history.",1,,Occasionally
WGS,Winter 2022,170,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,Social Change in Historical Perspectives,,WGS 170 - TOPICS IN WOMEN'S & GENDER STUDIES,Current or specialized topics proposed by faculty or students and approved by the department.  Appropriate for freshmen.,1,,Occasionally
WGS,Winter 2022,220,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Literary, Visual & Performing Arts|VPA for School of Education",,WGS 220 - GENDER AND POPULAR CULTURE,"A critical examination of the messages and ""knowledge"" that popular culture employs, disseminates and constructs about men and women, masculinity and femininity.  Takes its objects of study from a wide range of sources including advertisements, magazines, television, film, cyberspace, hip hop, and sports. Be ready to watch TV, go to the movies, and listen to music as a scholar of gender.",1,,Fall and Spring
WGS,Winter 2022,225,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Literary, Visual & Performing Arts",,WGS 225 - GENDER IN CHILDREN'S LITERATURE,"In this course, students will develop a critical appreciation of the roles of children's literature in the social construction of gender--not only how it prescribes or resists normative gender roles, but how it represents the subjective experience of growing up gendered.  With a grounding in gender theory and critical texts, students will explore the early beginnings of children's literature in collections of folklore and fairy tales, then move on to modern classics and contemporary favorites, limiting our scope to works for young children and pre-teens.",1,,Fall and Spring
WGS,Winter 2022,235,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Gender,"Behavioral, Social or Cultural Perspectives",,WGS 235 - GENDER AND VIOLENCE,"An exploration of the relationship between gender and violence.  The course is comprised of theoretical perspectives as well as the study of specific forms of violence.  Topics include:  domestic and intimate partner violence; sexual violence; child abuse; socially institutionalized forms of violence against women; attitudes and reactions to violence; national and global contexts of violence, and men and violence.",1,,Occasionally
WGS,Winter 2022,360,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Gender|Race & Ethnicity,"Literary, Visual & Performing Arts",Writing Intensive,WGS 360 - LIT BY LATINAS & LATIN AM WOMEN,"A comparative study of Latina and Latin-American women's literature in English.  The course is open to a wide range of literary traditions, nations, time periods, and genres including those specific to non-Western and post-Colonial cultures.  The focus varies by semester.  It may include works by Isabel Allende, Julia Alverez, Gloria Anzaldua, Ana Castillo, Sandra Cisneros, Sor Juana Inez de la Cruz, Laura Esquivel, Rosario Ferre, Cristina Garcia, Judith Ortiz Cofer, Elena Poniatowska, and others.",1,,Fall
AAH,Spring 2022,344,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Gender,"Literary, Visual & Performing Arts",Writing Intensive,"AAH 344 - WOMEN, ART & SOCIETY","This course will focus on women, art, and society.  It will cover representations of women in art, works by women artists, and feminist criticism.  The approach is historical and contextual.  Principally, this course is organized thematically, rather than chronologically, examining works by women artists in specific media and genres.  Works of art by male artists and women artists on common subjects are also examined, as are feminist revisions of popular subjects in the history of art.  The visual aspects of looking at art will be emphasized thorughout the course. Students will be continuously learning and refining skills that allow them to analyze and appreciate works of art in their proper context.",1,,Occasionally
AAS,Spring 2022,321,UGRD,Liberal Learning Civic Resp.|Writing Intensive,Gender|Race & Ethnicity,,Writing Intensive,"AAS 321 - RACE, GENDER, AND THE NEWS","Through interactive discussion, case study analysis, ongoing research, and ""old-fashioned reporting,"" this class explores the role and influence of the news media as it covers stories related to race, gender, and religion.",1,,Occasionally
ANT,Spring 2022,337,UGRD,Liberal Learning Domains,,"Behavioral, Social or Cultural Perspectives",,"ANT 337 - FOOD, BIOLOGY, AND CULTURE","This three-part course explores the relationship between humans and food from our earliest ancestors to present day. Emphases include (1) using an evolutionary framework to review the role of food in the development of human biology, anatomy, and behavior, (2) exploring cross-cultural variation in attitudes toward food and patterns of food consumption in contemporary human societies, and (3) focusing on the link between nutrition and human health. The final component introduces health problems associated with nutritional deprivation and critically examines dietary patterns in industrialized nations, emphasizing the implications of the disconnect between current habits and human evolutionary biology.",1,,Occasionally
EFN,Spring 2022,299,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,"EFN 299 - SCHOOLS, COMMUNITIES & CULTURE","This course examines the nature and the complex interrelationship between schools and communities in the rapidly changing diverse culture of the United States. Students learn how family and school values, belief systems, and attitudes intersect and subsequently result in inequitable schooling opportunities and student academic achievement.  Students develop an informed discourse that enables them to analyze classroom dynamics through the use of social theory as they examine case studies, ethnographies and complete a field based observation study. Through these experiences students are expected to reflect on their own socialization and begin to shape an understanding of how social structures have impacted their own educational experiences as well as those of others.  Students must register for a fifteen (15) hour field practicum that is taken concurrently with this course.  This course is only offered to students who have attained sophomore status. Students must earn a minimum of C+ to enroll in SED 399.",1,"Reserved for Sophomores & Juniors, or by permission of instructor. [RQ5167]",Fall and Spring
JPW,Spring 2022,321,UGRD,Liberal Learning Civic Resp.|Writing Intensive,Race & Ethnicity,,Writing Intensive,"JPW 321 - RACE, GENDER, AND THE NEWS","This class examines historical and contemporary issues with regard to the ways in which women and people of color participate in Western news media, either as the subjects of news coverage or as journalists.  Students will be exposed to historical, theoretical and contemporary writings on media representation, and will complete a major reporting project.",1,,Occasionally
LIT,Spring 2022,311,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Gender,"Literary, Visual & Performing Arts",Writing Intensive,"LIT 311 - WOMEN'S AUTO, DIARIES & LETTERS","A study of the range of women's autobiographical texts and their manuscript circulation, publication, and readership.  Applying many theoretical perspectives to this ever-expanding corpus of women's literature and life-writing across the ages.",1,,Occasionally
LIT,Spring 2022,378,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains|Writing Intensive,Race & Ethnicity,"Literary, Visual & Performing Arts",Writing Intensive,"LIT 378 - AFRICAN AMERICAN LITERATURE, 1920 TO THE PRESENT","A study  of  literature in the African American tradition, focusing on the realist and naturalist writings of this period, as well as the prose, poetry, essays and speeches of the Harlem Renaissance and Black Arts Movement.  We will interrogate how the social matrices of competing definitions of black identity are reflected in and through writing produced by African Americans, while we trouble notions of authenticity, representation, and essentialism. The course will also explore the canon of African American Literature, its literary traditions, and the intersections with and diversions from the canon of American Letters.  For English majors, this class meets LH and American.",1,,Spring
MUS,Spring 2022,358,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Literary, Visual & Performing Arts",,"MUS 358 - SOCIAL JUSTICE, MUSIC, EDUCATION","This course will explore how music of various genres (including hip-hop, pop, folk, rock, classical, jazz, and others) can be used to address issues of social justice in contemporary global society. Students will consider how music reflects and inspires racial/ethnic expression and conveys meaning and story about experiences with race and racism. Students will also explore rationales for teaching social justice through music, develop and apply skills needed to lead discussions about social justice issues, and will design projects that use music as the impetus for dialogue about social justice topics.",1,,Occasionally
PHY,Spring 2022,103,UGRD,Liberal Learning Domains,,Natural Science|Natural Science with Lab,,"PHY 103 - PHYSICAL, EARTH, AND SPACE SCIENCE","This course is an introduction to physical, earth, and/or space sciences.  Topics may include: motion, forces, energy, the earth, environment, weather, the solar system, stars, galaxies, and the universe.  Concepts are reinforced with a variety of experiments and demonstrations. This course is designed for elementary education majors to help them meet New Jersey state standards.  Open to all majors in summer sessions.",1,"Reserved for School of Education Students only, elementary and early childhood majors, including Urban Education majors.  [RQ613]",Fall and Spring
PSY,Spring 2022,355,UGRD,Liberal Learning Civic Resp.|Liberal Learning Domains,Race & Ethnicity,"Behavioral, Social or Cultural Perspectives",,"PSY 355 - PSYCHOLOGY OF POWER, OPPRESSION & PRIVILEGE","This course provides in-depth coverage of social psychology topics including stereotyping, prejudice and privilege, discrimination and advantage, intergroup relations, attributions, social influence, personal self-esteem and collective self-esteem.  In addition, this course provides opportunities for students to develop their writing, speaking, and presentation skills.",1,"PSY 101 is a prerequisite and not open to students who took previous related course, PSY 218.  [RQ#5921]",Fall and Spring
